430,6919,0,0.4,8,991,0,1,0,0,1,1,0,0,0,0,0,1820839
80,770,4,0,15,364,0,0,0,1,1,0,0,0,0,0,0,145954
82,635,0,0.333333333,8,343,1,1,0,0,0,1,0,0,0,0,0,92598
497,1896,0,0.6,4,539,0,1,0,1,1,0,0,0,0,0,0,1188319
511,4570,1,1.2,17,674,0,0,0,0,0,0,1,0,0,0,0,1110255
145,2439,0,0,0,485,0,0,0,1,1,0,0,0,0,0,0,919835
821,21361,2,2.333333333,16,684,1,1,0,0,0,0,0,0,0,0,0,2192276
341,5046,0,0.4,0,205,1,0,0,0,0,0,0,0,0,0,0,306192
119,1373,0,0,14,262,0,0,0,0,0,0,0,0,0,0,1,88777
1022,46891,0,6.5,18,1268,0,0,1,0,0,1,0,0,0,0,0,9706697
677,15918,0,4,38,834,1,0,0,0,0,0,0,0,0,0,0,5442553
368,8640,0,1.666666667,17,476,1,0,0,0,0,0,0,0,0,0,0,356415
413,6385,1,1.5,0,483,1,0,0,0,0,0,0,0,0,0,0,426246
758,15570,2,3,15,1125,1,0,0,0,0,1,0,0,0,0,0,5978662
269,2612,0,0,0,326,0,0,0,1,1,0,0,0,1,0,0,224849
430,2541,0,0,11,447,0,1,1,0,1,0,0,0,0,0,0,305131
1146,12784,4,6.5,39,931,1,0,0,0,0,0,0,0,0,0,0,14262199
1215,14319,1,2.5,16,654,0,1,0,0,0,0,1,0,0,0,0,818904
311,1866,0,0,5,585,0,0,1,0,1,0,0,0,1,0,0,1330181
995,47687,0,0,0,513,1,0,0,0,0,0,0,0,0,0,0,3586192
427,8071,0,2,18,592,0,0,0,0,0,0,0,1,0,0,0,653226
306,5658,0,3.666666667,1,510,0,0,0,0,0,1,0,0,0,0,0,1046313
442,7027,0,0,8,512,1,0,0,0,0,0,0,1,0,0,0,364415
415,9189,1,5.5,16,722,1,0,0,0,0,1,0,0,0,0,0,2860786
39,1247,0,0,0,176,0,0,0,0,0,0,0,0,1,0,0,133562
77,1309,0,0,0,194,0,0,0,1,1,0,0,0,1,0,0,113404
52,875,0,0,0,158,0,0,0,0,1,0,0,0,1,0,0,168172
38,7680,0,0,33,214,0,0,0,0,0,0,0,0,1,0,0,141351
25,1719,0,0,33,341,0,0,0,0,0,0,0,0,1,0,0,279130
52,5836,0,0,38,411,0,0,0,0,0,0,0,0,1,0,0,550961
